Story_ID,Persona,Epic,Feature,User_Story,Business_Value,Priority,Sprint,Acceptance_Criteria,Test_Case,Status
AEL-US-011,AI Safety Engineer,Reporting,Artifact Generation,"As an AI Safety Engineer, I want JSON, Markdown, and HTML reports, so that I can provide reviewable evaluation evidence.","Enables both machine-readable and human-readable reporting artifacts.",High,Sprint 1,"Scenario: Evaluation artifact generation | Given a completed evaluation | When report generation runs | Then JSON, Markdown, and HTML artifacts are produced | And each reflects the stored evaluation results.",Download generated reports and verify they are non-empty and structurally valid.,Completed
AEL-US-012,Evaluation Operator,Results UX,Auto-Refresh Results,"As an Evaluation Operator, I want evaluation pages to auto-refresh while runs are active, so that I do not need manual navigation.","Improves visibility and usability during live demos and monitoring.",Medium,Sprint 1,"Scenario: Live result page refresh | Given an evaluation is queued or running | When the detail page is open | Then the page refreshes status automatically | And refresh stops after the run reaches a terminal state.",Keep an evaluation page open during execution and verify automatic updates through completion.,Completed
AEL-US-013,AI Application Developer,Results Accuracy,Report Normalization,"As an AI Application Developer, I want summary metrics to match detailed report data, so that score interpretation is trustworthy.","Prevents inconsistencies between UI summaries and report artifacts.",High,Sprint 1,"Scenario: Report summary normalization | Given a completed evaluation with stored result data | When the platform computes summary metrics | Then the summary matches the detailed report contents | And the displayed counts and scores remain consistent.",Compare UI summary values with the downloaded JSON report for the same evaluation.,Completed
AEL-US-014,DevOps Engineer,CI Evaluation,Automated Evaluation Workflow,"As a DevOps Engineer, I want CI to execute evaluations automatically, so that unsafe regressions are caught before merge.","Adds automated quality gates to the engineering workflow.",High,Sprint 2,"Scenario: CI evaluation execution | Given a code change triggers the workflow | When the GitHub Actions evaluation job runs | Then the workflow executes the evaluation steps | And generated reports are uploaded as artifacts when available.",Trigger the workflow and verify evaluation execution plus artifact upload behavior.,Completed
AEL-US-015,AI Safety Engineer,Scenario Library,Expanded Adversarial Coverage,"As an AI Safety Engineer, I want broader scenario coverage across jailbreak, prompt injection, PII, hallucination, and related risks, so that evaluation reflects real-world attack patterns.","Improves the depth and realism of red-team testing.",High,Sprint 2,"Scenario: Expanded scenario catalog loading | Given the scenario directory contains the full library | When scenarios are loaded and executed | Then the platform recognizes the expanded scenario set | And evaluations can run across multiple threat categories.",Load the scenario catalog and verify broad coverage categories are available for selection and execution.,Completed
AEL-US-016,Enterprise AI Safety and Compliance Engineer,Release Governance,Release Gate Decision,"As an Enterprise AI Safety and Compliance Engineer, I want release-gate decisions with policy-based GO or BLOCK results, so that I can determine whether an agent is safe for deployment.","Supports formal release governance using evaluation evidence.",High,Sprint 2,"Scenario: Release-gate policy enforcement | Given a completed release-candidate evaluation | When the policy gate is checked | Then the system returns a GO or BLOCK decision | And the decision is based on configured policy rules.",Use the release gate flow and verify policy-driven decision output for a completed evaluation.,Completed
AEL-US-017,Enterprise AI Safety and Compliance Engineer,Auditability,Evidence Artifact Download,"As an Enterprise AI Safety and Compliance Engineer, I want downloadable evidence artifacts, so that audit packages can be reviewed externally.","Improves traceability and supports compliance review workflows.",High,Sprint 2,"Scenario: Evidence artifact generation | Given a completed evaluation | When the user requests an evidence artifact | Then the platform returns the artifact successfully | And the artifact corresponds to the evaluation result set.",Download the evidence artifact from the evaluation detail page or API and verify file generation.,Completed
AEL-US-018,RAG Engineer,Grounded Testing,RAG Reliability and Hallucination Scenarios,"As a RAG Engineer, I want grounding, contradiction, and missing-context scenarios, so that hallucinations and unsupported answers are measurable.","Improves reliability testing for retrieval-grounded agents.",High,Sprint 2,"Scenario: RAG reliability scenario execution | Given a RAG-targeted evaluation run | When grounding and contradiction scenarios are executed | Then unsupported or incorrect behaviors are surfaced | And grounded responses are evaluated against expectations.",Run RAG-specific scenarios and inspect failure reasons related to missing context or contradiction.,Completed
AEL-US-019,Evaluation Operator,Operations,Evaluation Monitoring and Control,"As an Evaluation Operator, I want clearer monitoring for evaluation progress, so that long-running jobs are easier to manage.","Improves operational visibility for evaluation execution.",Medium,Sprint 2,"Scenario: Evaluation progress visibility | Given an evaluation is active | When the user opens monitoring views | Then the platform shows current run status clearly | And the user can distinguish active, completed, and failed states.",Use evaluation detail and list views to verify status visibility across active and terminal runs.,Completed
AEL-US-020,Platform Team Member,Batch Evaluation,Candidate Bakeoff,"As a Platform Team Member, I want batch evaluation for multiple agent candidates, so that I can compare variants using the same scenario set.","Enables side-by-side comparison of competing agent versions before release.",High,Sprint 3,"Scenario: Batch candidate evaluation | Given multiple configured agent candidates and a shared scenario bundle | When the user starts a batch run | Then the platform creates evaluations for each candidate | And aggregated comparison results are produced.",Create a batch from /dashboard/batches/new and verify batch execution plus comparison output.,Completed
AEL-US-021,Platform Team Member,Regression Analysis,Baseline Regression Check,"As a Platform Team Member, I want regression comparison across runs, so that I can detect quality drops before release.","Helps prevent shipping weaker agent behavior than the baseline.",High,Sprint 3,"Scenario: Baseline regression analysis | Given a baseline result and a candidate result | When the platform compares them | Then regressions are identified | And the comparison is surfaced in the results workflow.",Use the regression flow and verify baseline-versus-candidate comparison results.,Completed
AEL-US-022,Compliance Engineer,Threat Coverage,Threat Model Coverage Check,"As a Compliance Engineer, I want threat-model coverage checks, so that I can verify required safety categories before approval.","Ensures release evaluations cover enterprise threat areas instead of isolated scenarios.",High,Sprint 3,"Scenario: Threat coverage validation | Given a set of selected release scenarios | When the platform checks threat coverage | Then covered and missing categories are identified | And release readiness is blocked when required coverage is incomplete.",Use the coverage flow and verify missing versus covered threat categories for a release setup.,Completed
AEL-US-023,Admin or Release Manager,Governance,Policy Version Management,"As an Admin or Release Manager, I want versioned release-gate policies, so that I can activate and manage policy changes over time.","Supports controlled policy evolution across evaluation cycles.",Medium,Sprint 3,"Scenario: Policy version activation | Given multiple release-gate policy versions | When an administrator activates one version | Then the chosen policy becomes active | And subsequent gate checks use that version.",Use the policy management flow or API to create and activate a release-gate policy version.,Completed
AEL-US-024,Enterprise Admin,Access Control,RBAC Enforcement,"As an Enterprise Admin, I want role-based controls for evaluator, release manager, and admin workflows, so that sensitive actions are restricted appropriately.","Protects governance and operational actions from unauthorized use.",Medium,Sprint 3,"Scenario: Role-based access enforcement | Given a user with a defined application role | When the user attempts a restricted action | Then access is allowed or denied based on role | And the platform enforces the permission boundary consistently.",Verify restricted workflows behave differently for allowed versus disallowed roles.,Completed
AEL-US-025,AI Platform Owner,Monitoring,Drift Monitoring,"As an AI Platform Owner, I want drift monitoring across historical and current runs, so that I can detect quality changes over time.","Adds post-release oversight for long-term model or agent behavior changes.",Medium,Sprint 3,"Scenario: Drift analysis execution | Given baseline historical results and current evaluation data | When a drift check runs | Then the platform reports quality changes over time | And the results are available for review.",Use the drift monitoring flow and verify baseline-versus-current analysis output.,Completed
AEL-US-026,AI Platform Owner,Monitoring,Signed Audit Alerts,"As an AI Platform Owner, I want signed audit alerts for important evaluation events, so that external systems can trust notifications.","Supports enterprise monitoring and downstream audit pipelines.",Medium,Sprint 3,"Scenario: Signed audit event emission | Given a configured webhook and a relevant evaluation event | When the platform emits an audit event | Then the payload is signed | And the receiving system can validate the event source.",Trigger an audit test event and verify signed webhook behavior through the audit event flow.,Completed
AEL-US-027,AI Safety Engineer,Scenario Management,Adversarial Scenario Generation,"As an AI Safety Engineer, I want targeted adversarial scenario generation by threat type, so that I can expand red-team coverage quickly.","Speeds creation of new scenarios aligned with threat categories.",Medium,Sprint 3,"Scenario: Adversarial scenario generation | Given a selected threat category and a generation request | When the user generates scenarios | Then the platform returns targeted scenario content | And the generated scenarios can be reviewed or persisted.",Use /api/scenarios/generate-adversarial and verify output for a chosen threat category.,Completed
AEL-US-028,External Client or CI User,Platform Access,Tenant API Keys,"As an External Client or CI User, I want scoped API keys, so that I can trigger evaluations without relying on browser sessions.","Enables automation and external integration with the platform.",Medium,Sprint 3,"Scenario: API key-based access | Given a valid tenant API key | When the client calls a supported evaluation endpoint | Then the platform authenticates the request | And the operation succeeds according to the granted scope.",Use a tenant API key against supported evaluation endpoints and verify authenticated access.,Completed
AEL-US-029,External Evaluator,Self-Serve Onboarding,Bring Your Agent Flow,"As an External Evaluator, I want a bring-your-agent onboarding flow, so that I can connect my own HTTP agent without cloning the repository.","Broadens platform usability for external evaluators and demos.",Medium,Sprint 3,"Scenario: Self-serve external agent onboarding | Given an external HTTP agent URL | When the user connects, detects, tests, and runs a quick evaluation | Then the platform completes onboarding through the browser | And the agent can be evaluated without local code changes.",Use /bring-your-agent and verify connect, detect, test, and quick evaluation flow end to end.,Completed
